iter	Passed	Remaining
741	10253	3565
742	10265	3550
743	10276	3536
744	10288	3521
745	10302	3507
746	10315	3493
747	10326	3479
748	10339	3464
749	10352	3450
750	10364	3436
751	10375	3421
752	10387	3407
753	10400	3393
754	10413	3379
755	10426	3365
756	10439	3351
757	10451	3336
758	10463	3322
759	10474	3307
760	10488	3293
761	10501	3279
762	10514	3265
763	10526	3251
764	10537	3237
765	10551	3223
766	10563	3208
767	10573	3194
768	10585	3179
769	10597	3165
770	10611	3151
771	10622	3137
772	10634	3122
773	10647	3108
774	10658	3094
775	10669	3079
776	10681	3065
777	10694	3051
778	10707	3037
779	10719	3023
780	10731	3009
781	10744	2995
782	10758	2981
783	10769	2966
784	10781	2952
785	10793	2938
786	10807	2924
787	10819	2910
788	10831	2896
789	10844	2882
790	10858	2868
791	10869	2854
792	10881	2840
793	10894	2826
794	10907	2812
795	10920	2798
796	10932	2784
797	10944	2770
798	10961	2757
799	10974	2743
800	10988	2729
801	11000	2715
802	11012	2701
803	11024	2687
804	11038	2673
805	11049	2659
806	11061	2645
807	11075	2631
808	11088	2618
809	11102	2604
810	11113	2589
811	11125	2575
812	11139	2562
813	11152	2548
814	11163	2534
815	11175	2519
816	11188	2506
817	11201	2492
818	11213	2478
819	11224	2464
820	11238	2450
821	11251	2436
822	11263	2422
823	11275	2408
824	11287	2394
825	11300	2380
826	11312	2366
827	11324	2352
828	11336	2338
829	11349	2324
830	11363	2310
831	11374	2296
832	11387	2282
833	11402	2269
834	11415	2255
835	11428	2241
836	11439	2227
837	11452	2214
838	11469	2200
839	11482	2187
840	11495	2173
841	11507	2159
842	11519	2145
843	11532	2131
844	11546	2117
845	11558	2104
846	11570	2089
847	11583	2076
848	11596	2062
849	11609	2048
850	11620	2034
851	11632	2020
852	11645	2006
853	11659	1993
854	11670	1979
855	11683	1965
856	11696	1951
857	11709	1937
858	11723	1924
859	11735	1910
860	11748	1896
861	11761	1882
862	11775	1869
863	11790	1855
864	11802	1842
865	11815	1828
866	11827	1814
867	11841	1800
868	11854	1787
869	11866	1773
870	11879	1759
871	11893	1745
872	11906	1732
873	11919	1718
874	11930	1704
875	11943	1690
876	11956	1676
877	11969	1663
878	11981	1649
879	11994	1635
880	12007	1621
881	12019	1608
882	12030	1594
883	12043	1580
884	12057	1566
885	12071	1553
886	12084	1539
887	12095	1525
888	12108	1511
889	12121	1498
890	12134	1484
891	12145	1470
892	12157	1456
893	12170	1443
894	12182	1429
895	12193	1415
896	12206	1401
897	12219	1387
898	12236	1374
899	12249	1361
900	12260	1347
901	12273	1333
902	12288	1319
903	12301	1306
904	12314	1292
905	12325	1278
906	12338	1265
907	12351	1251
908	12364	1237
909	12379	1224
910	12391	1210
911	12404	1196
912	12416	1183
913	12428	1169
914	12441	1155
915	12454	1142
916	12467	1128
917	12480	1114
918	12492	1101
919	12504	1087
920	12516	1073
921	12529	1059
922	12540	1046
923	12554	1032
924	12566	1018
925	12580	1005
926	12591	991
927	12603	977
928	12614	964
929	12627	950
930	12638	936
931	12651	923
932	12663	909
933	12677	895
934	12688	882
935	12702	868
936	12715	854
937	12728	841
938	12740	827
939	12752	813
940	12766	800
941	12779	786
942	12792	773
943	12803	759
944	12815	745
945	12828	732
946	12841	718
947	12854	705
948	12865	691
949	12878	677
950	12892	664
951	12904	650
952	12915	636
953	12927	623
954	12944	609
955	12960	596
956	12977	583
957	12990	569
958	13002	555
959	13013	542
960	13027	528
961	13040	515
962	13053	501
963	13064	487
964	13077	474
965	13091	460
966	13103	447
967	13115	433
968	13127	419
969	13140	406
970	13153	392
971	13165	379
972	13178	365
973	13191	352
974	13203	338
975	13215	324
976	13227	311
977	13239	297
978	13252	284
979	13263	270
980	13276	257
981	13288	243
982	13301	230
983	13312	216
984	13324	202
985	13337	189
986	13352	175
987	13365	162
988	13376	148
989	13388	135
990	13400	121
991	13414	108
992	13425	94
993	13438	81
994	13451	67
995	13465	54
996	13476	40
997	13488	27
998	13500	13
999	13513	0
